t,ch,payload,raw7
75.81,68,0,D7F54EBF856929
75.81,68,0,D7F54EBF856929
87.25,68,0,D7F54EBF856929
87.25,68,0,D7F54EBF856929
87.56,5,0,D7F54EBF856929
87.57,5,0,D7F54EBF856929
88.5,68,0,D7F54EBF856929
88.51,68,0,D7F54EBF856929
88.82,5,0,D7F54EBF856929
88.83,5,0,D7F54EBF856929
89.77,68,2,D7F54EBFC521ED
89.78,68,2,D7F54EBFC521ED
90.1,5,0,D7F54EBF856929
91.04,68,0,D7F54EBF856929
91.04,68,2,D7F54EBFC521ED
91.35,5,0,D7F54EBF856929
91.36,5,0,D7F54EBF856929
92.31,68,0,D7F54EBF856929
92.31,68,0,D7F54EBF856929
92.62,5,2,D7F54EBFC521ED
92.63,5,2,D7F54EBFC521ED
93.57,68,0,D7F54EBF856929
93.89,5,2,D7F54EBFC521ED
94.84,68,0,D7F54EBF856929
94.84,68,0,D7F54EBF856929
95.15,5,2,D7F54EBFC521ED
95.16,5,2,D7F54EBFC521ED
96.11,68,0,D7F54EBF856929
96.41,5,1,D7F54EBF05F8A1
96.42,5,1,D7F54EBF05F8A1
97.37,68,0,D7F54EBF856929
97.38,68,0,D7F54EBF856929
97.68,5,0,D7F54EBF856929
97.69,5,0,D7F54EBF856929
98.64,68,0,D7F54EBF856929
98.95,5,0,D7F54EBF856929
98.96,5,0,D7F54EBF856929
99.9,68,1,D7F54EBF05F8A1
99.91,68,1,D7F54EBF05F8A1
100.22,5,0,D7F54EBF856929
101.17,68,0,D7F54EBF856929
101.18,68,0,D7F54EBF856929
101.48,5,0,D7F54EBF856929
101.49,5,0,D7F54EBF856929
102.43,68,1,D7F54EBF05F8A1
102.44,68,1,D7F54EBF05F8A1
102.74,5,0,D7F54EBF856929
102.75,5,0,D7F54EBF856929
103.7,68,0,D7F54EBF856929
103.7,68,0,D7F54EBF856929
104.01,5,0,D7F54EBF856929
104.02,5,0,D7F54EBF856929
104.96,68,0,D7F54EBF856929
104.96,68,0,D7F54EBF856929
105.28,5,0,D7F54EBF856929
106.23,68,0,D7F54EBF856929
106.23,68,0,D7F54EBF856929
106.54,5,1,D7F54EBF05F8A1
107.49,68,0,D7F54EBF856929
107.81,5,0,D7F54EBF856929
108.76,68,0,D7F54EBF856929
108.77,68,0,D7F54EBF856929
109.08,5,0,D7F54EBF856929
110.02,68,0,D7F54EBF856929
110.33,5,2,D7F54EBFC521ED
110.34,5,2,D7F54EBFC521ED
111.28,68,0,D7F54EBF856929
111.29,68,0,D7F54EBF856929
111.6,5,0,D7F54EBF856929
112.55,68,0,D7F54EBF856929
112.55,68,0,D7F54EBF856929
112.87,5,0,D7F54EBF856929
112.87,5,0,D7F54EBF856929
113.82,68,2,D7F54EBFC521ED
113.82,68,2,D7F54EBFC521ED
114.14,5,0,D7F54EBF856929
114.14,5,0,D7F54EBF856929
115.09,68,0,D7F54EBF856929
115.09,68,0,D7F54EBF856929
116.35,68,0,D7F54EBF856929
116.35,68,0,D7F54EBF856929
116.67,5,2,D7F54EBFC521ED
117.62,68,0,D7F54EBF856929
117.62,68,0,D7F54EBF856929
117.93,5,2,D7F54EBFC521ED
118.88,68,2,D7F54EBFC521ED
119.2,5,0,D7F54EBF856929
120.14,68,0,D7F54EBF856929
120.15,68,0,D7F54EBF856929
120.46,5,0,D7F54EBF856929
120.47,5,0,D7F54EBF856929
